cam_id,frame_id,timestamp_ms,track_id,bbox_x,bbox_y,bbox_w,bbox_h,confidence,class_id,utm_x,utm_y,speed_kmh,polygon_type,polygon_geometry
0003,1,1693574568000,1,252.5,175.8,118.50,82.20,0.86,1,451230.00,4923450.00,16,road,"POLYGON((450230.0 4922450.0,450330.0 4922450.0,450330.0 4922550.0,450230.0 4922550.0,450230.0 4922450.0))"
0003,1,1693574568000,2,421.2,145.3,95.30,108.45,0.91,0,451240.00,4923460.00,3.5,crosswalk,"POLYGON((451200.0 4923400.0,451280.0 4923400.0,451280.0 4923480.0,451200.0 4923480.0,451200.0 4923400.0))"
0003,2,1693574568033,1,255,176.6,118.50,82.20,0.86,1,451230.00,4923450.00,17,road,"POLYGON((450230.0 4922450.0,450330.0 4922450.0,450330.0 4922550.0,450230.0 4922550.0,450230.0 4922450.0))"
0003,2,1693574568033,2,422.4,145.6,95.30,108.45,0.91,0,451240.00,4923460.00,0.5,crosswalk,"POLYGON((451200.0 4923400.0,451280.0 4923400.0,451280.0 4923480.0,451200.0 4923480.0,451200.0 4923400.0))"
0003,3,1693574568066,1,257.5,177.4,118.50,82.20,0.86,1,451230.00,4923450.00,18,road,"POLYGON((450230.0 4922450.0,450330.0 4922450.0,450330.0 4922550.0,450230.0 4922550.0,450230.0 4922450.0))"
0003,3,1693574568066,2,423.6,145.9,95.30,108.45,0.91,0,451240.00,4923460.00,4.5,crosswalk,"POLYGON((451200.0 4923400.0,451280.0 4923400.0,451280.0 4923480.0,451200.0 4923480.0,451200.0 4923400.0))"
0003,3,1693574568066,3,560,230,65.40,76.50,0.79,5,451260.00,4923470.00,10.5,bikeLane,"POLYGON((451250.0 4923470.0,451290.0 4923470.0,451290.0 4923490.0,451250.0 4923490.0,451250.0 4923470.0))"
0003,4,1693574568099,1,260,178.2,118.50,82.20,0.86,1,451230.00,4923450.00,19,road,"POLYGON((450230.0 4922450.0,450330.0 4922450.0,450330.0 4922550.0,450230.0 4922550.0,450230.0 4922450.0))"
0003,4,1693574568099,2,424.8,146.2,95.30,108.45,0.91,0,451240.00,4923460.00,3.5,crosswalk,"POLYGON((451200.0 4923400.0,451280.0 4923400.0,451280.0 4923480.0,451200.0 4923480.0,451200.0 4923400.0))"
0003,4,1693574568099,3,561.8,230.4,65.40,76.50,0.79,5,451260.00,4923470.00,10.5,bikeLane,"POLYGON((451250.0 4923470.0,451290.0 4923470.0,451290.0 4923490.0,451250.0 4923490.0,451250.0 4923470.0))"
0003,5,1693574568132,1,262.5,179,118.50,82.20,0.86,1,451230.00,4923450.00,20,road,"POLYGON((450230.0 4922450.0,450330.0 4922450.0,450330.0 4922550.0,450230.0 4922550.0,450230.0 4922450.0))"
0003,5,1693574568132,2,426,146.5,95.30,108.45,0.91,0,451240.00,4923460.00,2.5,crosswalk,"POLYGON((451200.0 4923400.0,451280.0 4923400.0,451280.0 4923480.0,451200.0 4923480.0,451200.0 4923400.0))"
0003,5,1693574568132,3,563.6,230.8,65.40,76.50,0.79,5,451260.00,4923470.00,13.5,bikeLane,"POLYGON((451250.0 4923470.0,451290.0 4923470.0,451290.0 4923490.0,451250.0 4923490.0,451250.0 4923470.0))"
0003,6,1693574568165,1,265,179.8,118.50,82.20,0.86,1,451230.00,4923450.00,21,road,"POLYGON((450230.0 4922450.0,450330.0 4922450.0,450330.0 4922550.0,450230.0 4922550.0,450230.0 4922450.0))"
0003,6,1693574568165,2,427.2,146.8,95.30,108.45,0.91,0,451240.00,4923460.00,1.5,crosswalk,"POLYGON((451200.0 4923400.0,451280.0 4923400.0,451280.0 4923480.0,451200.0 4923480.0,451200.0 4923400.0))"
0003,6,1693574568165,3,565.4,231.2,65.40,76.50,0.79,5,451260.00,4923470.00,11.5,bikeLane,"POLYGON((451250.0 4923470.0,451290.0 4923470.0,451290.0 4923490.0,451250.0 4923490.0,451250.0 4923470.0))"
0003,7,1693574568198,1,267.5,180.6,118.50,82.20,0.86,1,451230.00,4923450.00,22,road,"POLYGON((450230.0 4922450.0,450330.0 4922450.0,450330.0 4922550.0,450230.0 4922550.0,450230.0 4922450.0))"
0003,7,1693574568198,2,428.4,147.1,95.30,108.45,0.91,0,451240.00,4923460.00,1.5,crosswalk,"POLYGON((451200.0 4923400.0,451280.0 4923400.0,451280.0 4923480.0,451200.0 4923480.0,451200.0 4923400.0))"
0003,7,1693574568198,3,567.2,231.6,65.40,76.50,0.79,5,451260.00,4923470.00,10.5,bikeLane,"POLYGON((451250.0 4923470.0,451290.0 4923470.0,451290.0 4923490.0,451250.0 4923490.0,451250.0 4923470.0))"
0003,8,1693574568231,1,270,181.4,118.50,82.20,0.86,1,451230.00,4923450.00,23,road,"POLYGON((450230.0 4922450.0,450330.0 4922450.0,450330.0 4922550.0,450230.0 4922550.0,450230.0 4922450.0))"
0003,8,1693574568231,2,429.6,147.4,95.30,108.45,0.91,0,451240.00,4923460.00,3.5,crosswalk,"POLYGON((451200.0 4923400.0,451280.0 4923400.0,451280.0 4923480.0,451200.0 4923480.0,451200.0 4923400.0))"
0003,8,1693574568231,3,569,232,65.40,76.50,0.79,5,451260.00,4923470.00,11.5,bikeLane,"POLYGON((451250.0 4923470.0,451290.0 4923470.0,451290.0 4923490.0,451250.0 4923490.0,451250.0 4923470.0))"
0003,8,1693574568231,4,180,290,140.50,220.80,0.88,3,451180.00,4923500.00,23.5,road,"POLYGON((450230.0 4922450.0,450330.0 4922450.0,450330.0 4922550.0,450230.0 4922550.0,450230.0 4922450.0))"
